Date,Department,Item,Opening,In,Issued,Return,Damage,Used,Closing,Note
2026-08-01,packaging,15×25,602.0,0.0,300.0,298.0,0.0,2.0,600.0,
2026-08-01,packaging,15×25 R&D,98.0,0.0,0.0,0.0,0.0,0.0,98.0,
2026-08-01,packaging,4တင်းကျွတ်,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-08-01,packaging,5,3.0,0.0,0.0,0.0,0.0,0.0,3.0,
2026-08-01,packaging,5×22 R&D,100.0,0.0,0.0,0.0,0.0,0.0,100.0,
2026-08-01,packaging,6,4.0,0.0,3.0,0.0,0.0,3.0,1.0,
2026-08-01,packaging,6.5,4.0,0.0,1.0,0.0,0.0,1.0,3.0,
2026-08-01,packaging,7,4.0,0.0,0.0,0.0,0.0,0.0,4.0,
2026-08-01,packaging,750,185.0,0.0,103.0,0.0,0.0,103.0,82.0,
2026-08-01,packaging,Absober,3182.0,0.0,300.0,68.0,1.0,231.0,2950.0,
2026-08-01,packaging,Bar ခဲပိတ်,114.0,0.0,0.0,0.0,0.0,0.0,114.0,
2026-08-01,packaging,Barဇစ်,883.0,0.0,24.0,0.0,0.0,24.0,859.0,
2026-08-01,packaging,Barဖု,104.0,0.0,0.0,0.0,0.0,0.0,104.0,
2026-08-01,packaging,Br Bar,3.0,0.0,0.0,0.0,0.0,0.0,3.0,
2026-08-01,packaging,Br Sticker,135.0,0.0,0.0,0.0,0.0,0.0,135.0,
2026-08-01,packaging,C,1963.0,0.0,50.0,50.0,0.0,0.0,1963.0,
2026-08-01,packaging,C Bar,3.0,0.0,0.0,0.0,0.0,0.0,3.0,
2026-08-01,packaging,C အစုံ,16.0,0.0,0.0,0.0,0.0,0.0,16.0,
2026-08-01,packaging,Cc,903.0,0.0,120.0,27.0,0.0,93.0,810.0,
2026-08-01,packaging,Cc bar,14080.0,0.0,120.0,27.0,0.0,93.0,13987.0,
2026-08-01,packaging,Cp,33.0,0.0,0.0,0.0,0.0,0.0,33.0,
2026-08-01,packaging,D,893.0,0.0,52.0,52.0,0.0,0.0,893.0,
2026-08-01,packaging,D Bar,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
2026-08-01,packaging,EB,328.0,0.0,8.0,0.0,0.0,8.0,320.0,
2026-08-01,packaging,Gift Box,715.0,0.0,0.0,0.0,0.0,0.0,715.0,
2026-08-01,packaging,Lavash Sticker,131.0,0.0,6.0,6.0,0.0,0.0,131.0,
2026-08-01,packaging,Lavash အိတ်,72.0,0.0,6.0,0.0,0.0,6.0,66.0,
2026-08-01,packaging,Logo,41.0,0.0,0.0,0.0,0.0,0.0,41.0,
2026-08-01,packaging,NB,176.0,0.0,0.0,0.0,0.0,0.0,176.0,
2026-08-01,packaging,Nc,185.0,0.0,0.0,0.0,0.0,0.0,185.0,
2026-08-01,packaging,Nco,737.0,0.0,103.0,1.0,0.0,102.0,635.0,
2026-08-01,packaging,Nco bar,3.0,0.0,0.0,0.0,0.0,0.0,3.0,
2026-08-01,packaging,O,1007.0,0.0,51.0,51.0,0.0,0.0,1007.0,
2026-08-01,packaging,O Bar,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
