Date,Department,Item,Opening,In,Issued,Return,Damage,Used,Closing,Note
2026-08-01,production,B sugar,60715.0,0.0,8788.0,0.0,0.0,8788.0,51927.0,
2026-08-01,production,Baby Roll Oat,440.0,0.0,0.0,0.0,0.0,0.0,440.0,
2026-08-01,production,Banana Powder,218.0,0.0,0.0,0.0,0.0,0.0,218.0,
2026-08-01,production,Broot,580.0,0.0,0.0,0.0,0.0,0.0,580.0,
2026-08-01,production,Butter,576.0,25000.0,22230.0,0.0,0.0,22230.0,3346.0,
2026-08-01,production,Corn Strach,770.0,0.0,0.0,0.0,0.0,0.0,770.0,
2026-08-01,production,Oat,1467500.0,0.0,22600.0,0.0,0.0,22600.0,1444900.0,
2026-08-01,production,Oatမှုန့်,5120.0,0.0,200.0,0.0,0.0,200.0,4920.0,
2026-08-01,production,Originic Roll Oat,1500.0,0.0,0.0,0.0,0.0,0.0,1500.0,
2026-08-01,production,Pumkin Powder,22.0,0.0,0.0,0.0,0.0,0.0,22.0,
2026-08-01,production,Spanish Powder,100.0,0.0,0.0,0.0,0.0,0.0,100.0,
2026-08-01,production,Sweet Potato Powder,140.0,0.0,0.0,0.0,0.0,0.0,140.0,
2026-08-01,production,W.Sugar,26019.0,0.0,0.0,0.0,0.0,0.0,26019.0,
2026-08-01,production,ကညွှတ်,4600.0,0.0,0.0,0.0,0.0,0.0,4600.0,
2026-08-01,production,ကိုးကိုး,556.0,0.0,0.0,0.0,0.0,0.0,556.0,
2026-08-01,production,ကြက်ဥ,1282.0,30000.0,18132.0,0.0,1282.0,16850.0,13150.0,
2026-08-01,production,ချီယာစေ့,226.0,0.0,0.0,0.0,0.0,0.0,226.0,
2026-08-01,production,ချောချစ်,1972.0,4500.0,3450.0,0.0,0.0,3450.0,3022.0,
2026-08-01,production,ဂျုံ,34799.0,40000.0,39950.0,0.0,1.0,39949.0,34849.0,
2026-08-01,production,ဂျုံကြမ်း,178.0,0.0,0.0,0.0,0.0,0.0,178.0,
2026-08-01,production,ဂျုံစိမ်း,1340.0,0.0,0.0,0.0,0.0,0.0,1340.0,
2026-08-01,production,ငှက်ပျော,525.0,0.0,425.0,305.0,0.0,120.0,405.0,
2026-08-01,production,စပျစ်,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-08-01,production,ဆား,731.0,0.0,83.0,0.0,0.0,83.0,648.0,
2026-08-01,production,ဆိုဒါ,911.0,4106.0,330.0,0.0,0.0,330.0,4687.0,
2026-08-01,production,ဆီ,7686.0,0.0,0.0,0.0,0.0,0.0,7686.0,
2026-08-01,production,ဆွံပလွံ,544.0,0.0,160.0,0.0,0.0,160.0,384.0,
2026-08-01,production,ထန်းလျှက်,6102.0,0.0,0.0,0.0,0.0,0.0,6102.0,
2026-08-01,production,နို့မှုန်,866.0,0.0,0.0,0.0,0.0,0.0,866.0,
2026-08-01,production,နွားနို့,1700.0,8000.0,2800.0,0.0,800.0,2000.0,6900.0,
2026-08-01,production,နှမ်း,177.0,0.0,30.0,0.0,0.0,30.0,147.0,
2026-08-01,production,နှမ်းနက်,1400.0,0.0,0.0,0.0,0.0,0.0,1400.0,
2026-08-01,production,ပေါင်ဒါ,934.0,2150.0,372.0,0.0,0.0,372.0,2712.0,
2026-08-01,production,ပျားရည်,12591.0,0.0,0.0,0.0,0.0,0.0,12591.0,
2026-08-01,production,ဖရုံ,1600.0,3200.0,1300.0,0.0,0.0,1300.0,3500.0,
2026-08-01,production,ရိစ်,406.0,0.0,0.0,0.0,0.0,0.0,406.0,
2026-08-01,production,သစ်ကြား,944.0,0.0,944.0,516.0,428.0,0.0,516.0,
2026-08-01,production,သစ်ဂျပိုး,388.0,0.0,66.0,0.0,0.0,66.0,322.0,
2026-08-01,production,သီဟိုလ်,2454.0,3200.0,1900.0,0.0,0.0,1900.0,3754.0,
2026-08-01,production,သီးမွှေးငှက်ပျော,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,
2026-08-01,production,ဟင်းနုနွယ်,2382.0,8848.0,8030.0,0.0,7370.0,660.0,3200.0,
2026-08-01,production,အနှစ်,1254.0,0.0,0.0,0.0,0.0,0.0,1254.0,
2026-08-01,production,အလှော်,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-08-01,production,​ကန်စွန်း,200.0,0.0,0.0,0.0,0.0,0.0,200.0,
2026-08-02,production,B sugar,51927.0,0.0,8990.0,0.0,0.0,8990.0,42937.0,
2026-08-02,production,Baby Roll Oat,440.0,0.0,0.0,0.0,0.0,0.0,440.0,
2026-08-02,production,Banana Powder,218.0,0.0,0.0,0.0,0.0,0.0,218.0,
2026-08-02,production,Broot,580.0,16150.0,12530.0,0.0,8330.0,4200.0,4200.0,
2026-08-02,production,Butter,3346.0,25000.0,20405.0,0.0,0.0,20405.0,7941.0,
2026-08-02,production,Corn Strach,770.0,0.0,0.0,0.0,0.0,0.0,770.0,
2026-08-02,production,Oat,1444900.0,13000.0,23018.0,0.0,0.0,23018.0,1434882.0,
2026-08-02,production,Oatမှုန့်,4920.0,13000.0,12060.0,0.0,0.0,12060.0,5860.0,
2026-08-02,production,Originic Roll Oat,1500.0,0.0,0.0,0.0,0.0,0.0,1500.0,
2026-08-02,production,Pumkin Powder,22.0,0.0,0.0,0.0,0.0,0.0,22.0,
2026-08-02,production,Spanish Powder,100.0,0.0,0.0,0.0,0.0,0.0,100.0,
2026-08-02,production,Sweet Potato Powder,140.0,0.0,0.0,0.0,0.0,0.0,140.0,
2026-08-02,production,W.Sugar,26019.0,0.0,3700.0,0.0,0.0,3700.0,22319.0,
2026-08-02,production,ကညွှတ်,4600.0,0.0,0.0,0.0,0.0,0.0,4600.0,
2026-08-02,production,ကိုးကိုး,556.0,0.0,0.0,0.0,0.0,0.0,556.0,
2026-08-02,production,ကြက်ဥ,13150.0,15000.0,23200.0,0.0,0.0,23200.0,4950.0,
2026-08-02,production,ချီယာစေ့,226.0,0.0,0.0,0.0,0.0,0.0,226.0,
2026-08-02,production,ချောချစ်,3022.0,4500.0,431.0,0.0,0.0,431.0,7091.0,
2026-08-02,production,ဂျုံ,34849.0,40000.0,46120.0,0.0,0.0,46120.0,28729.0,
2026-08-02,production,ဂျုံကြမ်း,178.0,0.0,0.0,0.0,0.0,0.0,178.0,
2026-08-02,production,ဂျုံစိမ်း,1340.0,0.0,0.0,0.0,0.0,0.0,1340.0,
2026-08-02,production,ငှက်ပျော,405.0,0.0,0.0,0.0,0.0,0.0,405.0,
2026-08-02,production,စပျစ်,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-08-02,production,ဆား,648.0,0.0,77.0,0.0,0.0,77.0,571.0,
2026-08-02,production,ဆိုဒါ,4687.0,0.0,528.0,0.0,0.0,528.0,4159.0,
2026-08-02,production,ဆီ,7686.0,9040.0,8410.0,0.0,0.0,8410.0,8316.0,
2026-08-02,production,ဆွံပလွံ,384.0,0.0,300.0,0.0,0.0,300.0,84.0,
2026-08-02,production,ထန်းလျှက်,6102.0,0.0,0.0,0.0,0.0,0.0,6102.0,
2026-08-02,production,နို့မှုန်,866.0,6000.0,6750.0,0.0,0.0,6750.0,116.0,
2026-08-02,production,နွားနို့,6900.0,0.0,2940.0,0.0,0.0,2940.0,3960.0,
2026-08-02,production,နှမ်း,147.0,0.0,0.0,0.0,0.0,0.0,147.0,
2026-08-02,production,နှမ်းနက်,1400.0,0.0,0.0,0.0,0.0,0.0,1400.0,
2026-08-02,production,ပေါင်ဒါ,2712.0,0.0,468.0,0.0,0.0,468.0,2244.0,
2026-08-02,production,ပျားရည်,12591.0,0.0,2860.0,0.0,0.0,2860.0,9731.0,
2026-08-02,production,ဖရုံ,3500.0,0.0,60.0,0.0,0.0,60.0,3440.0,
2026-08-02,production,ရိစ်,406.0,0.0,0.0,0.0,0.0,0.0,406.0,
2026-08-02,production,သစ်ကြား,516.0,0.0,60.0,0.0,0.0,60.0,456.0,
2026-08-02,production,သစ်ဂျပိုး,322.0,0.0,30.0,0.0,0.0,30.0,292.0,
2026-08-02,production,သီဟိုလ်,3754.0,0.0,0.0,0.0,0.0,0.0,3754.0,
2026-08-02,production,သီးမွှေးငှက်ပျော,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,
2026-08-02,production,ဟင်းနုနွယ်,3200.0,0.0,940.0,0.0,0.0,940.0,2260.0,
2026-08-02,production,အနှစ်,1254.0,34900.0,23160.0,0.0,0.0,23160.0,12994.0,
2026-08-02,production,အလှော်,0.0,34898.0,34898.0,0.0,0.0,34898.0,0.0,
2026-08-02,production,​ကန်စွန်း,200.0,0.0,0.0,0.0,0.0,0.0,200.0,
2026-08-03,production,B sugar,42937.0,0.0,8255.0,0.0,0.0,8255.0,34682.0,
2026-08-03,production,Baby Roll Oat,440.0,0.0,0.0,0.0,0.0,0.0,440.0,
2026-08-03,production,Banana Powder,218.0,0.0,0.0,0.0,0.0,0.0,218.0,
2026-08-03,production,Broot,4200.0,0.0,3800.0,0.0,200.0,3600.0,400.0,
2026-08-03,production,Butter,7941.0,15000.0,11410.0,0.0,0.0,11410.0,11531.0,
2026-08-03,production,Corn Strach,770.0,0.0,0.0,0.0,0.0,0.0,770.0,
2026-08-03,production,Oat,1434882.0,0.0,16690.0,0.0,0.0,16690.0,1418192.0,
2026-08-03,production,Oatမှုန့်,5860.0,9200.0,13640.0,0.0,0.0,13640.0,1420.0,
2026-08-03,production,Originic Roll Oat,1500.0,0.0,0.0,0.0,0.0,0.0,1500.0,
